ERROR: system: AutoSpawner is already defined in that package
INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
<AdvancedMachines:blockAdvMachine>, §6Роторный дробитель
<BuildCraft|Robotics:robotStation>, Док-станция
<BuildCraft|Robotics:zonePlan>, Планировщик зон
<BuildCraft|Silicon:laserBlock>, Лазер
<BuildCraft|Silicon:laserTableBlock>, Сборочный стол
<BuildCraft|Silicon:package>, Пакет
<BuildCraft|Silicon:packagerBlock>, Упаковщик рецептов
<BuildCraft|Silicon:redstoneChipset>, Микросхема из красного камня
<BuildCraft|Silicon:redstoneCrystal>, Красный кристалл
<BuildCraft|Transport:filteredBufferBlock>, Фильтр
<BuildCraft|Transport:gateCopier>, Копировальщик гейтов
<BuildCraft|Transport:item.buildcraftPipe.pipefluidsclay>, Глиняная жидкостная труба
<BuildCraft|Transport:item.buildcraftPipe.pipefluidscobblestone>, Булыжниковая жидкостная труба
<BuildCraft|Transport:item.buildcraftPipe.pipefluidsdiamond>, Алмазная жидкостная труба
<BuildCraft|Transport:item.buildcraftPipe.pipefluidsemerald>, Изумрудная жидкостная труба
<BuildCraft|Transport:item.buildcraftPipe.pipefluidsgold>, Золотая жидкостная труба
<BuildCraft|Transport:item.buildcraftPipe.pipefluidsiron>, Железная жидкостная труба
<BuildCraft|Transport:item.buildcraftPipe.pipefluidsquartz>, Кварцевая жидкостная труба
<BuildCraft|Transport:item.buildcraftPipe.pipefluidssandstone>, Песчаниковая жидкостная труба
<BuildCraft|Transport:item.buildcraftPipe.pipefluidsstone>, Каменная жидкостная труба
<BuildCraft|Transport:item.buildcraftPipe.pipefluidsvoid>, Пустотная жидкостная труба
<BuildCraft|Transport:item.buildcraftPipe.pipefluidswood>, Деревянная жидкостная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsclay>, Глиняная транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemscobblestone>, Булыжниковая транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsdaizuli>, Алмазуритовая транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsdiamond>, Алмазная транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsemerald>, Изумрудная транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsemzuli>, Изумуритовая транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsgold>, Золотая транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsiron>, Железная транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemslapis>, Лазуритовая транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsobsidian>, Обсидиановая транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsquartz>, Кварцевая транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemssandstone>, Песчаниковая транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsstone>, Каменная транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsstripes>, Активная транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemsvoid>, Пустотная транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipeitemswood>, Деревянная транспортная труба
<BuildCraft|Transport:item.buildcraftPipe.pipepowercobblestone>, Булыжниковая энергетическая труба
<BuildCraft|Transport:item.buildcraftPipe.pipepowerdiamond>, Алмазная энергетическая труба
<BuildCraft|Transport:item.buildcraftPipe.pipepoweremerald>, Изумрудная энергетическая труба
<BuildCraft|Transport:item.buildcraftPipe.pipepowergold>, Золотая энергетическая труба
<BuildCraft|Transport:item.buildcraftPipe.pipepoweriron>, Железная энергетическая труба
<BuildCraft|Transport:item.buildcraftPipe.pipepowerquartz>, Кварцевая энергетическая труба
<BuildCraft|Transport:item.buildcraftPipe.pipepowersandstone>, Песчаниковая энергетическая труба
<BuildCraft|Transport:item.buildcraftPipe.pipepowerstone>, Каменная энергетическая труба
<BuildCraft|Transport:item.buildcraftPipe.pipepowerwood>, Деревянная энергетическая труба
<BuildCraft|Transport:item.buildcraftPipe.pipestructurecobblestone>, Структурная труба
<BuildCraft|Transport:pipeBlock>, tile.pipeBlock.name
<BuildCraft|Transport:pipeFacade>, Фасад: CORRUPT
<BuildCraft|Transport:pipeGate>, Основной гейт
<BuildCraft|Transport:pipeLens>, Линза (Чёрный)
<BuildCraft|Transport:pipePlug>, Заглушка для труб
<BuildCraft|Transport:pipePowerAdapter>, Энергетический адаптер
<BuildCraft|Transport:pipeWaterproof>, Уплотнитель для труб
<BuildCraft|Transport:pipeWire>, Красный провод
<CompactMachines:enlarger>, Модуль увеличения атома
<CompactMachines:innerwall>, Стена компактного механизма
<CompactMachines:innerwallcreative>, Compact Machine Wall
<CompactMachines:innerwalldecor>, Compact Machine Wall (Decorative)
<CompactMachines:interface>, Интерфейс компактного механизма
<CompactMachines:interfacecreative>, Compact Machine Interface
<CompactMachines:interfacedecor>, Compact Machine Interface (Decorative)
<CompactMachines:interfaceitem>, Интерфейс изменения размера мира
<CompactMachines:machine>, Компактный механизм
<CompactMachines:psd>, Личное устройство сжатия
<CompactMachines:quantumentangler>, Квантовый соединитель
<CompactMachines:resizingcube>, Куб изменения размера мира
<CompactMachines:shrinker>, Модуль сжатия атома
<DraconicEvolution:adminSpawnEgg>, Spawn 
<DraconicEvolution:awakenedCore>, Awakened Core
<DraconicEvolution:cKeyStone>, Creative Key Stone
<DraconicEvolution:chaosCrystal>, Chaos Crystal
<DraconicEvolution:chaosFragment>, Tiny Chaos Fragment
<DraconicEvolution:chaosShard>, Chaos Shard
<DraconicEvolution:chaosShardAtmos>, tile.draconicevolution:chaosShardAtmos.name
<DraconicEvolution:chaoticCore>, Chaotic Core
<DraconicEvolution:creativeStructureSpawner>, Spawn Comet
<DraconicEvolution:customSpawner>, Stabilized Mob Spawner
<DraconicEvolution:dezilsMarshmallow>, Dezil's Marshmallow
<DraconicEvolution:dislocatorReceptacle>, Dislocator Receptacle
<DraconicEvolution:dissEnchanter>, Disenchanter
<DraconicEvolution:draconicAxe>, Draconic Axe
<DraconicEvolution:draconicBlock>, Awakened Draconium Block
<DraconicEvolution:draconicBoots>, Draconic Boots
<DraconicEvolution:draconicBow>, Draconic Bow
<DraconicEvolution:draconicChest>, Draconic Chestplate
<DraconicEvolution:draconicCore>, Draconic Core
<DraconicEvolution:draconicDistructionStaff>, Draconic Staff of Power
<DraconicEvolution:draconicHelm>, Draconic Helm
<DraconicEvolution:draconicHoe>, Draconic Hoe
<DraconicEvolution:draconicIngot>, Awakened Draconium Ingot
<DraconicEvolution:draconicLeggs>, Draconic Leggings
<DraconicEvolution:draconicPickaxe>, Draconic Pickaxe
<DraconicEvolution:draconicShovel>, Draconic Shovel
<DraconicEvolution:draconicSword>, Draconic Sword
<DraconicEvolution:draconium>, Draconium Block
<DraconicEvolution:draconiumBlend>, Draconium Blend (Depreciated)
<DraconicEvolution:draconiumChest>, Draconic Chest
<DraconicEvolution:draconiumDust>, Draconium Dust
<DraconicEvolution:draconiumEnergyCore>, Wyvern Energy Core
<DraconicEvolution:draconiumFluxCapacitor>, Wyvern Flux Capacitor
<DraconicEvolution:draconiumIngot>, Draconium Ingot
<DraconicEvolution:draconiumOre>, Draconium Ore
<DraconicEvolution:dragonHeart>, Dragon Heart
<DraconicEvolution:enderArrow>, Ender Arrow
<DraconicEvolution:energyCrystal>, Energy Relay
<DraconicEvolution:energyInfuser>, Energy Infuser
<DraconicEvolution:energyPylon>, Energy Pylon
<DraconicEvolution:energyStorageCore>, Energy Core
<DraconicEvolution:flowGate>, Flux Gate
<DraconicEvolution:generator>, Generator
<DraconicEvolution:grinder>, Mob Grinder
<DraconicEvolution:infoTablet>, Draconic Evolution Information Tablet
<DraconicEvolution:infusedObsidian>, Draconium Infused Obsidian
<DraconicEvolution:invisibleMultiblock>, Energy Core
<DraconicEvolution:key>, Key
<DraconicEvolution:longRangeDislocator>, Long Range Dislocator
<DraconicEvolution:magnet>, Item Dislocator
<DraconicEvolution:mobSoul>, Mob Soul
<DraconicEvolution:nugget>, Draconium Nugget
<DraconicEvolution:particleGenerator>, Particle Generator
<DraconicEvolution:placedItem>, tile.draconicevolution:placedItem.name
<DraconicEvolution:playerDetector>, Player Detector
<DraconicEvolution:playerDetectorAdvanced>, Advanced Player Detector
<DraconicEvolution:portal>, Portal
<DraconicEvolution:potentiometer>, Potentiometer
<DraconicEvolution:rainSensor>, Rain Sensor
<DraconicEvolution:reactorCore>, Draconic Reactor Core
<DraconicEvolution:reactorCraftingPart>, Reactor Stabilizer Frame
<DraconicEvolution:reactorEnergyInjector>, Reactor Energy Injector
<DraconicEvolution:reactorStabilizer>, Reactor Stabilizer
<DraconicEvolution:safetyFlame>, tile.draconicevolution:safetyFlame.name
<DraconicEvolution:safetyMatch>, Box of Safety Matches
<DraconicEvolution:sunDial>, Sun Dial
<DraconicEvolution:sunFocus>, Solar Focus
<DraconicEvolution:tclogo>, TCLogo
<DraconicEvolution:teleporterMKI>, Charm of Dislocation
<DraconicEvolution:teleporterMKII>, Enhanced Charm of Dislocation
<DraconicEvolution:teleporterStand>, Dislocator Pedestal
<DraconicEvolution:upgradeModifier>, Upgrade Modifier
<DraconicEvolution:weatherController>, Weather Controller
<DraconicEvolution:wrench>, Crystal Binder
<DraconicEvolution:wyvernBoots>, Wyvern Boots
<DraconicEvolution:wyvernBow>, Bow of the Wyvern
<DraconicEvolution:wyvernChest>, Wyvern Chestplate
<DraconicEvolution:wyvernCore>, Wyvern Core
<DraconicEvolution:wyvernHelm>, Wyvern Helm
<DraconicEvolution:wyvernLeggs>, Wyvern Leggings
<DraconicEvolution:wyvernPickaxe>, Pickaxe of the Wyvern
<DraconicEvolution:wyvernShovel>, Shovel of the Wyvern
<DraconicEvolution:wyvernSword>, Sword of the Wyvern
<DraconicEvolution:xRayBlock>, Distortion Flame
<EMT:BaseBaubles>, §2Кольцо Всевластия
<EMT:ChainsawStream>, Электропила Потока
<EMT:ChargingFocus>, Набалдашник: Зарядка
<EMT:ChristmasFocus>, Набалдашник: Рождество
<EMT:Diamond Omnitool>, Алмазный мультиинструмент
<EMT:DiamondChainsaw>, Алмазная электропила
<EMT:DrillRockbreaker>, Бур Камнелома
<EMT:EMTBaubles>, §2Кольцо для зарядки брони
<EMT:EMTItems>, Скопление чистого урана.name
<EMT:EMTMachines>, Промышленная станция зарядки жезлов
<EMT:EMTSolars>, Сжатая солнечная панель
<EMT:EMTSolars2>, Наполненная воздухом, дважды сжатая солнечная панель
<EMT:ElectricBootsTraveller>, Электрические ботинки путешественника
<EMT:ElectricGogglesRevealing>, Электрические очки откровения
<EMT:ElectricHoeGrowth>, Электрическая мотыга Роста
<EMT:ElectricScribingTools>, Электрическая чернильница с пером
<EMT:EnergyBallFocus>, Набалдашник: Наэлектризованное облако
<EMT:EssentiaGenerators>, Potentia генератор
<EMT:ExplosionFocus>, Набалдашник: Взрыв
<EMT:FeatherWing>, Склеенные крылья из картона
<EMT:Mjolnir>, Мьёлнир
<EMT:NanoBootsTraveller>, Нано-ботинки путешественника
<EMT:NanosuitGogglesRevealing>, Нано-очки откровения
<EMT:NanosuitWing>, Нано-крылья
<EMT:Omnitool>, Железный мультиинструмент
<EMT:PortableNode>, Переносной узел
<EMT:QuantumBootsTraveller>, Квантовые ботинки путешественника
<EMT:QuantumGogglesRevealing>, Квантовые очки откровения
<EMT:QuantumWing>, Квантовые крылья
<EMT:ShieldBlock>, Щит-блок
<EMT:ShieldFocus>, Набалдашник: Щит
<EMT:SolarHelmetRevealing>, Солнечные очки откровения
<EMT:SuperchargedMjolnir>, Сильнозаряженный Мьёлнир
<EMT:TaintedMjolnir>, Сломанная реликвия Мьёлнира
<EMT:ThaumiumChainsaw>, Таум-электропила
<EMT:ThaumiumDrill>, Таум-бур
<EMT:ThaumiumOmnitool>, Таум-мультиинструмент
<EMT:ThaumiumWing>, Укреплённые таум-крылья
<EMT:WandChargingFocus>, Набалдашник: Зарядка жезла
<EMT:electricCloud>, §5§lНаэлектризованное облако
<EMT:itemArmorQuantumChestplate>, Наполненный квантовый нагрудник
<EnderIO:blockAlloySmelter>, Завод сплавов
<EnderIO:blockAttractor>, Притягивающий обелиск
<EnderIO:blockBuffer>, Предметный буфер
<EnderIO:blockCapBank>, Творческий блок конденсаторов
<EnderIO:blockCapacitorBank>, Блок конденсаторов (Устаревший)
<EnderIO:blockCloud_seed>, Cloud Seed
<EnderIO:blockCloud_seed_concentrated>, Concentrated Cloud Seed
<EnderIO:blockCombustionGenerator>, Генератор внутреннего сгорания
<EnderIO:blockConduitBundle>, Коннектор для труб
<EnderIO:blockConduitFacade>, tile.blockConduitFacade.name
<EnderIO:blockCrafter>, Создатель
<EnderIO:blockDarkIronBars>, Решётка из тёмного железа
<EnderIO:blockDarkSteelAnvil>, Наковальня из тёмной стали
<EnderIO:blockDarkSteelLadder>, Лестница из тёмной стали
<EnderIO:blockDarkSteelPressurePlate>, Тёмная нажимная пластина
<EnderIO:blockElectricLight>, Электрический светильник
<EnderIO:blockEnchanter>, Зачарователь
<EnderIO:blockEnderIo>, Интерфейс Края
<EnderIO:blockEnderRail>, Рельс Края
<EnderIO:blockEndermanSkull>, Голова странника Края
<EnderIO:blockExperienceObelisk>, Обелиск опыта
<EnderIO:blockFarmStation>, Фермерская станция
<EnderIO:blockFire_water>, Огненная вода
<EnderIO:blockFusedQuartz>, Расплавленный кварц
<EnderIO:blockHootch>, Самогон
<EnderIO:blockHyperCube>, Пространственный приёмопередатчик (Устаревший)
<EnderIO:blockIngotStorage>, Блок наэлектризованной стали
<EnderIO:blockInhibitorObelisk>, tile.blockInhibitorObelisk.name
<EnderIO:blockInventoryPanel>, Инвентарная панель
<EnderIO:blockKillerJoe>, Киллер Джо
<EnderIO:blockLightNode>, tile.blockLightNode.name
<EnderIO:blockLiquid_sunshine>, Liquid Sunshine
<EnderIO:blockNutrient_distillation>, Питательный дистиллят
<EnderIO:blockPaintedCarpet>, Покрашенный ковёр
<EnderIO:blockPaintedDoubleSlab>, Покрашенная плита
<EnderIO:blockPaintedFence>, Покрашенный забор
<EnderIO:blockPaintedFenceGate>, Покрашенная калитка
<EnderIO:blockPaintedGlowstone>, Покрашенный светящийся камень
<EnderIO:blockPaintedSlab>, Покрашенная плита
<EnderIO:blockPaintedStair>, Покрашенные ступени
<EnderIO:blockPaintedWall>, Покрашенная стена
<EnderIO:blockPainter>, Покрасочный механизм
